Date,Site_ID,CO2_Captured_Tons,Operational_Costs,Energy_Consumption,Revenue_CO2_Sales,Revenue_Carbon_Credits,Plant_Uptime_Percentage,Customer_Satisfaction_Score
2021-01-31,Site_1,2789.186169243891,189722.30758048524,226997.71457401264,48275.81700013622,29762.020856798357,87.42956020250904,1
2021-02-28,Site_2,3604.4278952248555,155835.84803542774,62258.78512172412,39653.23307396442,24446.201496361737,83.89413219022606,10
2021-03-31,Site_3,3053.540542751055,43613.799542958055,122816.71191442,11097.75562119,6841.761668385145,98.30937879361684,5
2021-04-30,Site_4,2769.9275966847945,182738.4905032241,20904.052653795654,46498.748823578986,28666.459074084254,92.27189237192155,9
2021-05-31,Site_5,2175.908516760633,123776.06268586068,13418.444362410044,31495.45579232996,19416.935236602,98.33399950841283,6
2021-06-30,Site_6,3264.881154026615,383834.39563061757,298917.6827741049,97668.63621960056,60212.67311156228,94.07818265663632,10
2021-07-31,Site_7,2244.1773351871934,64697.86692956805,151577.0308360767,16462.705013568255,10149.25071017969,74.62157375072262,2
2021-08-31,Site_8,4469.687703832191,80403.71055756048,117887.18155185679,20459.13770768391,12613.049783631423,76.20610773071499,10
2021-09-30,Site_9,4821.947526455044,146470.04743027582,66889.90742355371,37270.05693700821,22976.97441122893,71.98237511841643,5
2021-10-31,Site_10,1978.8634422463108,151133.1463742995,244085.75107567842,38456.606447954444,23708.481685198134,81.90263379607673,9
2021-11-30,Site_1,3979.4526866050564,424689.41898109537,214668.28866374292,108064.40704885454,66621.66145124962,84.81813975773734,8
2021-12-31,Site_2,2691.5851067892318,397728.9916607388,10451.297399593317,101204.18764628976,62392.33907767343,99.69282029546008,7
2022-01-31,Site_3,2883.418349360268,293531.4602705604,233655.7351816685,74690.58984427986,46046.71719477593,97.12057500703483,7
2022-02-28,Site_4,4635.423527634039,151408.45264142283,42329.996093705864,38526.65954366117,23751.66938920946,76.37620856395912,4
2022-03-31,Site_5,448.076685169646,166250.39307338625,285103.4772533696,42303.26762606301,26079.946682084268,81.95620546222884,2
2022-04-30,Site_6,526.9335685375495,300186.9547414959,106493.46434709665,76384.11464493092,47090.774521415064,85.44043133873191,7
2022-05-31,Site_7,199.07014745759602,372534.61379476375,140819.80484468822,94793.34861106395,58440.059511375686,87.18254552710064,4
2022-06-30,Site_8,4179.837243184897,198208.0470031402,11444.462645388492,50435.05704261328,31093.191433960317,77.11099546262403,10
2022-07-31,Site_9,3912.9680796542675,259685.39403574384,249073.8796488968,66078.28420366177,40737.23439305608,78.65637179138287,2
2022-08-31,Site_10,4363.059526409414,445136.23690102005,99368.79372676878,113267.20503674346,69829.18422044111,88.47238061336365,8
2022-09-30,Site_1,4895.229876940543,328397.51978713105,171369.59408913963,83562.43802177353,51516.20786121396,80.13037383126994,10
2022-10-31,Site_2,4015.8769646619457,272419.564700531,278714.2311473056,69318.55942749634,42734.862704416606,91.59163407368194,9
2022-11-30,Site_3,2361.248875039366,44899.00595952671,55304.49113251344,11424.783004342336,7043.373912422291,78.95059116890255,3
2022-12-31,Site_4,3924.592963803632,96247.4537711764,261525.58774996726,24490.65966064769,15098.481370390686,76.31263087099475,8
2021-01-31,Site_5,679.5446867577728,108485.87606965542,155069.28994434088,27604.789162794495,17018.340897437174,86.12949666327839,3
2021-02-28,Site_6,3235.6130045048667,315342.66330162436,278092.29047641996,80240.56264141006,49468.27308770647,73.18014647406211,2
2021-03-31,Site_7,802.4311083043274,62975.24833522952,248482.9645540635,16024.375851953771,9879.020966577911,98.0414548426252,2
2021-04-30,Site_8,4728.877693542961,24207.486290996974,138464.20889113576,6159.71939789795,3797.4644156047516,76.68270488782663,4
2021-05-31,Site_9,2657.0567765753513,186571.773249414,35726.41350727576,47474.14733482858,29267.791845633586,83.84850259026325,8
2021-06-30,Site_10,2131.843505953566,362240.9974693158,18757.261915787432,92174.08499186025,56825.2845928285,91.46980617433519,8
2021-07-31,Site_1,1396.322499312672,349692.1836080091,263526.93485188193,88980.97476005359,54856.733479197064,88.13072664396145,10
2021-08-31,Site_2,3893.7450782276615,398408.4724556907,147542.62606292695,101377.08502947328,62498.93024161747,78.73881804588204,4
2021-09-30,Site_3,2335.136627861088,351161.64557196165,202471.52329904796,89354.88691495579,55087.250165279824,98.07647078369881,2
2021-10-31,Site_4,2885.3263494563776,310509.93351471634,265678.0401205672,79010.84968999602,48710.15557086038,83.68952312676795,9
2021-11-30,Site_5,192.0700221381402,248219.42741124614,98351.10753056216,63160.710020883605,38938.551137651935,90.43918714271356,3
2021-12-31,Site_6,3126.4139356717974,112164.17703910558,269771.2753334908,28540.751763804226,17595.36144692588,74.35171807801197,6
2022-01-31,Site_7,3099.269041339865,288588.5473697428,17984.40743402962,73432.84023280493,45271.31508880554,77.86887325097284,2
2022-02-28,Site_8,3122.976584686309,321946.12662208715,91178.44683289844,81920.84784820121,50504.16821030475,74.9015296384958,2
2022-03-31,Site_9,4724.365584721659,70634.23092321097,245412.2545788909,17973.24336542615,11080.496968173866,88.39339536008112,10
2022-04-30,Site_10,3440.9194656070686,286922.1959155361,257433.89231385753,73008.8285344069,45009.91205524915,72.37141763365248,5
2022-05-31,Site_1,1861.5887128115514,57896.86946484029,284002.26465370005,14732.156227752414,9082.368112273314,82.66930215878831,8
2022-06-30,Site_2,2241.4565736167733,278067.633130181,97873.26901453201,70755.73949024863,43620.8836080605,82.2446304867961,5
2022-07-31,Site_3,3518.392860043598,87870.25659913436,236268.31982867958,22359.038752125918,13784.3379776847,75.47211346000218,5
2022-08-31,Site_4,395.10481098342217,68316.63813208317,295687.78776816215,17383.519959190136,10716.932736498846,75.44701515412167,9
2022-09-30,Site_5,3367.1569056837716,65419.02744677996,162831.74438240888,16646.208016460394,10262.380234209197,79.8480912856251,9
